"Country Code","Country Name","Indicator","Year","Data"
156,"China","Total Population",1986,NA
156,"China","Total Population",1987,NA
156,"China","Total Population",1988,NA
156,"China","Total Population",1989,NA
156,"China","Total Population",1990,1135185
156,"China","Total Population",1991,NA
156,"China","Total Population",1992,NA
156,"China","Total Population",1993,NA
156,"China","Total Population",1994,NA
156,"China","Total Population",1995,NA
156,"China","Total Population",1996,NA
156,"China","Total Population",1997,NA
156,"China","Total Population",1998,NA
156,"China","Total Population",1999,NA
156,"China","Total Population",2000,1262645
